"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"IEIZKBAV","journalArticle","2017","McConaghy, Masha; McMullen, Greg; Parry, Glenn; McConaghy, Trent; Holtzman, David","Visibility and digital art: Blockchain as an ownership layer on the Internet","Strategic Change","","1086-1718, 1099-1697","10.1002/jsc.2146","https://onlinelibrary.wiley.com/doi/10.1002/jsc.2146","Abstract             Visibility of digital art and its ownership can be achieved using blockchain technology as part of a broader solution for the identification, attribution, and payment for digital work. A case study is provided of a firm using the Bitcoin blockchain as part of an integrated solution to identify and authenticate ownership of digital property. An integrated ownership ledger allows for secure attribution, transfer, and provenance of digital property. Blockchain technology enables limited‐edition digital property, while Internet‐scale web crawl and machine learning shows where and how works are being used on the Internet.","2017-09","2023-11-22 16:41:27","2023-11-22 16:41:27","2023-11-22 16:41:10","461-470","","5","26","","Strategic Change","Visibility and digital art","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\DELL\Zotero\storage\ISQGAM52\McConaghy et al. - 2017 - Visibility and digital art Blockchain as an owner.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KLWHL6DC","conferencePaper","2008","Jäppinen, Pekka; Hämäläinen, Harri","Enhanced RFID security method with ownership transfer","2008 International Conference on Computational Intelligence and Security","","","","https://ieeexplore.ieee.org/abstract/document/4724802/","","2008","2023-11-22 16:41:27","2023-11-22 16:41:27","2023-11-22 16:41:11","382–385","","","2","","","","","","","","IEEE","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K3PPC7SC","conferencePaper","2009","Wang, Chih-Hung; Chin, Shan","A new RFID authentication protocol with ownership transfer in an insecure communication environment","2009 Ninth International Conference on Hybrid Intelligent Systems","","","","https://ieeexplore.ieee.org/abstract/document/5254392/","","2009","2023-11-22 16:41:27","2023-11-22 16:41:27","2023-11-22 16:41:15","486–491","","","1","","","","","","","","IEEE","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KGMFMLLF","conferencePaper","2006","Osaka, Kyosuke; Takagi, Tsuyoshi; Yamazaki, Kenichi; Takahashi, Osamu","An efficient and secure RFID security method with ownership transfer","2006 International Conference on Computational Intelligence and Security","","","","https://ieeexplore.ieee.org/abstract/document/4076126/","","2006","2023-11-22 16:41:27","2023-11-22 16:41:27","2023-11-22 16:41:17","1090–1095","","","2","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\DELL\Zotero\storage\LW8ZVJLE\Osaka et al. - 2006 - An efficient and secure RFID security method with .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"936MQML2","journalArticle","2021","Morewedge, Carey K.; Monga, Ashwani; Palmatier, Robert W.; Shu, Suzanne B.; Small, Deborah A.","Evolution of Consumption: A Psychological Ownership Framework","Journal of Marketing","","0022-2429, 1547-7185","10.1177/0022242920957007","http://journals.sagepub.com/doi/10.1177/0022242920957007","Technological innovations are creating new products, services, and markets that satisfy enduring consumer needs. These technological innovations create value for consumers and firms in many ways, but they also disrupt psychological ownership––the feeling that a thing is “MINE.” The authors describe two key dimensions of this technology-driven evolution of consumption pertaining to psychological ownership: (1) replacing legal ownership of private goods with legal access rights to goods and services owned and used by others and (2) replacing “solid” material goods with “liquid” experiential goods. They propose that these consumption changes can have three effects on psychological ownership: they can threaten it, cause it to transfer to other targets, and create new opportunities to preserve it. These changes and their effects are organized in a framework and examined across three macro trends in marketing: (1) growth of the sharing economy, (2) digitization of goods and services, and (3) expansion of personal data. This psychological ownership framework generates future research opportunities and actionable marketing strategies for firms aiming to preserve the positive consequences of psychological ownership and navigate cases for which it is a liability.","2021-01","2023-11-22 16:41:27","2023-11-22 16:41:27","2023-11-22 16:41:17","196-218","","1","85","","Journal of Marketing","Evolution of Consumption","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\DELL\Zotero\storage\VHT9JGTR\Morewedge et al. - 2021 - Evolution of Consumption A Psychological Ownershi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZFY9ZNQA","journalArticle","1984","Nilsson, Nils J.","Artificial intelligence, employment, and income","AI magazine","","","","https://ojs.aaai.org/aimagazine/index.php/aimagazine/article/view/433","","1984","2023-11-22 16:41:27","2023-11-22 16:41:27","2023-11-22 16:41:19","5–5","","2","5","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\DELL\Zotero\storage\2YYVZN8A\Nilsson - 1984 - Artificial intelligence, employment, and income.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B3WS9XTA","journalArticle","2016","Cao, Tianjie; Chen, Xiuqing; Doss, Robin; Zhai, Jingxuan; Wise, Lucas J.; Zhao, Qiang","RFID ownership transfer protocol based on cloud","Computer Networks","","","","https://www.sciencedirect.com/science/article/pii/S1389128616301621","","2016","2023-11-22 16:41:27","2023-11-22 16:41:27","2023-11-22 16:41:25","47–59","","","105","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BFCX7S65","journalArticle","2023","Aziz, Atif","Artificial Intelligence Produced Original Work: A New Approach to Copyright Protection and Ownership","European Journal of Artificial Intelligence and Machine Learning","","","","https://www.ej-ai.org/index.php/ejai/article/view/15","","2023","2023-11-22 16:41:27","2023-11-22 16:41:27","2023-11-22 16:41:27","9–16","","2","2","","","Artificial Intelligence Produced Original Work","","","","","","","","","","","","Google Scholar","","","","C:\Users\DELL\Zotero\storage\5NE359YB\Aziz - 2023 - Artificial Intelligence Produced Original Work A .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9RNJJ4HV","conferencePaper","2004","Yu, Beom Joon","Ownership structure, corporate governance and firm value: Korean evidence","Proceedings. The 8th Russian-Korean International Symposium on Science and Technology, 2004. KORUS 2004.","","","10.1109/KORUS.2004.1555721","https://ieeexplore.ieee.org/document/1555721/keywords#keywords","This paper examines the relation between ownership structure and firm value in Korean firms by considering the possible endogeneity of ownership structure using OLS equation and simultaneous equation regressions. The empirical results show that ownership structure affects firm value and firm value, in turn, affects ownership structure. In particular, we found that the higher the ownership by member firms in the same business group is, the higher the firm value is. The evidence implies that vertical transaction between member firms through equity holding facilitates information flows, reduces transaction cost and then increases firm value. However, it appears that individual insider ownership is not statistically significant in explaining the relation with firm value.","2004-06","2023-11-22 17:07:42","2023-11-22 17:07:42","2023-11-22 17:07:42","195-197 vol. 3","","","3","","","Ownership structure, corporate governance and firm value","","","","","","","","","","","","IEEE Xplore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings. The 8th Russian-Korean International Symposium on Science and Technology, 2004. KORUS 2004.","","","","","","","","","","","","","","",""
"574D4YZ2","conferencePaper","2015","Greiler, Michaela; Herzig, Kim; Czerwonka, Jacek","Code Ownership and Software Quality: A Replication Study","2015 IEEE/ACM 12th Working Conference on Mining Software Repositories","","","10.1109/MSR.2015.8","https://ieeexplore.ieee.org/document/7180062","In a traditional sense, ownership determines rights and duties in regard to an object, for example a property. The owner of source code usually refers to the person that invented the code. However, larger code artifacts, such as files, are usually composed by multiple engineers contributing to the entity over time through a series of changes. Frequently, the person with the highest contribution, e.g. The most number of code changes, is defined as the code owner and takes responsibility for it. Thus, code ownership relates to the knowledge engineers have about code. Lacking responsibility and knowledge about code can reduce code quality. In an earlier study, Bird et al. [1] showed that Windows binaries that lacked clear code ownership were more likely to be defect prone. However recommendations for large artifacts such as binaries are usually not actionable. E.g. Changing the concept of binaries and refactoring them to ensure strong ownership would violate system architecture principles. A recent replication study by Foucault et al. [2] on open source software replicate the original results and lead to doubts about the general concept of ownership impacting code quality. In this paper, we replicated and extended the previous two ownership studies [1, 2] and reflect on their findings. Further, we define several new ownership metrics to investigate the dependency between ownership and code quality on file and directory level for 4 major Microsoft products. The results confirm the original findings by Bird et al. [1] that code ownership correlates with code quality. Using new and refined code ownership metrics we were able to classify source files that contained at least one bug with a median precision of 0.74 and a median recall of 0.38. On directory level, we achieve a precision of 0.76 and a recall of 0.60.","2015-05","2023-11-22 17:08:44","2023-11-22 17:08:44","2023-11-22 17:08:44","2-12","","","","","","Code Ownership and Software Quality","","","","","","","","","","","","IEEE Xplore","","ISSN: 2160-1860","","C:\Users\DELL\Zotero\storage\D2KYVDGQ\7180062.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015 IEEE/ACM 12th Working Conference on Mining Software Repositories","","","","","","","","","","","","","","",""
